Sample.Name,Core.Section,Tube.Depth,Depth.Mid,Clay,Coarse_Silt,Coarse_VC_Sand,Fine_Sand,Fine_Silt,M_Silt,Med_Sand,VFine_Sand,VFine_Silt
EML20-1B-1U-1-W_16-17cm,EML20-1B-1U-1,16.5,1.5,18.80075519,19.73099,0,0.000320136,18.68363,26.13745,0,3.98994771,12.6569
EML20-1B-1U-1-W_18-19cm,EML20-1B-1U-1,18.5,3.5,20.772877,16.46297,0,0,20.12287,25.64702,0,2.861197,14.13306
EML20-1B-1U-1-W_20-21cm,EML20-1B-1U-1,20.5,5.5,20.772877,16.46297,0,0,20.12287,25.64702,0,2.861197,14.13306
EML20-1B-1U-1-W_22-23cm,EML20-1B-1U-1,22.5,7.5,19.80721404,16.71855,0,0.00017919,20.15758,26.11135,0,3.47512592,13.72998
EML20-1B-1U-1_24-25cm,EML20-1B-1U-1,24.5,9.5,19.3495204,17.3012,0,0.03119897,19.01789,25.42815,0,6.0327805,12.83926
EML20-1B-1U-1-W_26-27cm,EML20-1B-1U-1,26.5,11.5,19.24733669,18.27338,0,0.003584606,18.8138,24.8641,0,5.914356,12.88342
EML20-1B-1U-1_28-29cm,EML20-1B-1U-1,28.5,13.5,19.67494,20.22817,0,0,19.62681,26.42207,0,0.73473,13.31328
EML20-1B-1U-1-W_30-31cm,EML20-1B-1U-1,30.5,15.5,19.617956,19.43023,0,0,18.44981,23.93897,0,5.280425,13.28259
EML20-1B-1U-1-W_32-33cm,EML20-1B-1U-1,32.5,17.5,27.796661,12.13803,0,0,20.09777,20.03513,0,2.497086,17.43533
EML20-1B-1U-1-W_34-35cm,EML20-1B-1U-1,34.5,19.5,30.896963,10.170008,0,0,20.28339,18.95779,0,1.216644,18.47524
EML20-1B-1U-1-W_36-37cm,EML20-1B-1U-1,36.5,21.5,27.034018,11.71345,0,0,21.56187,21.02051,0,1.490641,17.17948
EML20-1B-1U-1_38-39cm,EML20-1B-1U-1,38.5,23.5,29.522777,10.159726,0,0,21.26315,19.2442,0,1.145052,18.66511
EML20-1B-1U-1-W_40-41cm,EML20-1B-1U-1,40.5,25.5,27.061405,12.31413,0,0,21.03311,21.06771,0,1.198684,17.32494
EML20-1B-1U-1_42-43cm,EML20-1B-1U-1,42.5,27.5,25.5659346,12.83691,0,0.1624168,18.93276,19.60017,0,7.195911,15.7059
EML20-1B-1U-1-W_44-45cm,EML20-1B-1U-1,44.5,29.5,29.9366817,8.673885,0,0,22.39894,18.17637,0,0.9962318,19.81789
EML20-1B-1U-1-W_46-47cm,EML20-1B-1U-1,46.5,31.5,35.4946643,6.82328,0,0,20.76018,15.42839,0,0.1233356,21.37017
EML20-1B-1U-1_48-49cm,EML20-1B-1U-1,48.5,33.5,30.26449,8.381847,0,0,21.69666,18.22713,0,1.541605,19.88824
EML20-1B-1U-1-W_50-51cm,EML20-1B-1U-1,50.5,35.5,28.400327,12.55141,0,0,19.78932,20.33468,0,2.026959,16.8973
EML20-1B-1U-1-W_52-53cm,EML20-1B-1U-1,52.5,37.5,27.05079262,12.52399,0,0.06313747,19.64379,21.1325,0,3.4772191,16.10857
EML20-1B-1U-1_54-55cm,EML20-1B-1U-1,54.5,39.5,24.91734915,14.36794,0,0.01150279,19.7142,21.74251,0,3.394642,15.85186
EML20-1B-1U-1-W_56-57cm,EML20-1B-1U-1,56.5,41.5,24.8526051,15.447511,0,0,20.13101,23.40622,0,0.7527496,15.4099
EML20-1A-1N-1_37-38cm,EML20-1A-1N-1,37.5,39.5,25.64118535,14.19259,0,0.04242455,18.04036,19.96052,0,6.9873462,15.13556
EML20-1A-1N-1-W_39-40cm,EML20-1A-1N-1,39.5,41.5,23.071636,15.516,0,0,19.56689,24.23654,0,3.424739,14.18421
EML20-1A-1N-1-W_41-42cm,EML20-1A-1N-1,41.5,43.5,26.494451,11.35798,0,0,20.99695,22.0391,0,2.144043,16.96749
EML20-1A-1N-1-W_43-44cm,EML20-1A-1N-1,43.5,45.5,23.725794,14.45796,0,0,20.34982,23.48413,0,2.669125,15.31318
EML20-1A-1N-1-W_45-46cm,EML20-1A-1N-1,45.5,47.5,27.547268,9.890402,0,0,22.01855,20.73172,0,1.507891,18.30415
EML20-1A-1N-1-W_47-48cm_4mg,EML20-1A-1N-1,47.5,49.5,29.672792,8.50312,0,0,22.29702,19.26301,0,1.260334,19.00372
EML20-1A-1N-1-W_49-50cm,EML20-1A-1N-1,49.5,51.5,2.11E+01,1.72E+01,0.00E+00,4.36E-05,1.93E+01,2.43E+01,0.00E+00,4.44E+00,1.36E+01
EML20-1A-1N-1_51-52cm,EML20-1A-1N-1,51.5,53.5,25.823496,10.55465,0,0,21.77908,22.17431,0,2.343077,17.32536
EML20-1A-1N-1-W_53-54cm,EML20-1A-1N-1,53.5,55.5,27.7277106,8.879197,0,0,22.93637,20.63115,0,0.8358637,18.98972
EML20-1A-1N-1_55-56cm,EML20-1A-1N-1,55.5,57.5,28.27752818,9.193571,0,0.009365585,21.57807,19.41845,0,3.5620909,17.9609
EML20-1A-1N-1-W_57-58cm,EML20-1A-1N-1,57.5,59.5,34.933201,7.286277,0,0,20.01923,15.13786,0,1.743842,20.87956
EML20-1A-1N-1-W_59-60cm,EML20-1A-1N-1,59.5,61.5,28.4011563,12.06234,0,0.07618643,19.29882,18.7942,0,6.002427,15.36487
EML20-1A-1N-1-W_61-62cm,EML20-1A-1N-1,61.5,63.5,36.6086707,7.798235,0,0,20.11399,15.48227,0,0.3613359,19.63551
EML20-1A-1N-1-W_63-64cm,EML20-1A-1N-1,63.5,65.5,32.77326,8.754385,0,0,20.56894,15.89072,0,1.333437,20.67926
EML20-1A-1N-1-W_65-66cm_4mg,EML20-1A-1N-1,65.5,67.5,29.366185,10.37559,0,0,20.65036,18.44779,0,2.805544,18.35454
EML20-1A-1N-1-W_67-68cm,EML20-1A-1N-1,67.5,69.5,25.4881509,14.17886,0,1.6256602,16.0782,17.7458,0.6982447,10.20428,13.98083
EML20-1A-1N-1-W_69-70cm,EML20-1A-1N-1,69.5,71.5,35.577548,8.182913,0,0,19.85921,16.1567,0,0.6028995,19.62073
EML20-1A-1N-1_71-72cm,EML20-1A-1N-1,71.5,73.5,30.98668998,9.96892,0,0.002353048,19.51432,17.08656,0,3.9670281,18.47412
EML20-1A-1N-1-W_73-74cm,EML20-1A-1N-1,73.5,75.5,23.7949039,13.40695,0,0.1444656,19.45294,21.06472,0,7.264559,14.87144
EML20-1A-1N-1_75-76cm,EML20-1A-1N-1,75.5,77.5,3.24E+01,6.89E+00,0.00E+00,6.29E-05,2.15E+01,1.56E+01,0.00E+00,2.32E+00,2.12E+01
EML20-1A-1N-1_77-78cm,EML20-1A-1N-1,77.5,79.5,26.048542,10.90625,0,0.111227,19.77684,17.84837,0,7.700325,17.60843
EML20-1A-1N-1_79-80cm,EML20-1A-1N-1,79.5,81.5,27.4002767,10.284,0,0.04026947,21.00675,19.28285,0,4.4958051,17.49002
EML20-1A-1N-1_81-82cm,EML20-1A-1N-1,81.5,83.5,22.942826,13.68925,0,0.5693614,18.2411,18.79949,0,11.045113,14.71286
